0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:04 +0900] "GET /dstay/bestMenuByPrice.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/6_lee/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/6_lee/owl_carousel/owl.theme.default.css HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/6_lee/owl_carousel/owl.carousel.css HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/6_lee/kimi.css HTTP/1.1" 200 33387
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/6_lee/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/4_jong/logo-top.css?ver=5 HTTP/1.1" 200 6455
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/4_jong/top-menu.css?ver=8 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/koreaCate.jpg HTTP/1.1" 200 7233
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/chinaCate.jpg HTTP/1.1" 200 11105
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/japanCate.jpg HTTP/1.1" 200 11500
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/usaCate.jpg HTTP/1.1" 200 13311
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/saladCate.jpg HTTP/1.1" 200 14062
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/proteinCate.jpg HTTP/1.1" 200 8629
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/sideCate.jpg HTTP/1.1" 200 13803
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/tag_coffee.jpg HTTP/1.1" 200 24103
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/6_lee/tag_juice.jpg HTTP/1.1" 200 22746
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/product.do HTTP/1.1" 200 28087
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/productImages/usa2.jpg HTTP/1.1" 200 13997
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/productImages/china2.jpg HTTP/1.1" 200 8843
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/productImages/usa3.jpg HTTP/1.1" 200 10666
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/productImages/usa1.jpg HTTP/1.1" 200 10430
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/productImages/japan3.jpg HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/images/productImages/china1.jpg HTTP/1.1" 200 12540
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/jquery.min.js HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/owl_carousel/owl.carousel.js HTTP/1.1" 200 88643
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/tipusearch/tipuesearch_set.js HTTP/1.1" 200 3536
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/tipusearch/tipuesearch_content.js HTTP/1.1" 200 5042
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/prism/prism.js HTTP/1.1" 200 249715
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/kimi.js HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/tipusearch/tipuesearch.js HTTP/1.1" 200 32765
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/js/6_lee/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Jan/2020:20:59:57 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/productCotegory.do?pcno=5 HTTP/1.1" 200 24328
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/images/productImages/salad9.jpg HTTP/1.1" 200 98293
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/images/productImages/salad4.jpg HTTP/1.1" 200 225390
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/images/productImages/salad8.jpg HTTP/1.1" 200 268290
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/images/productImages/salad6.jpg HTTP/1.1" 200 125133
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/images/productImages/salad7.jpg HTTP/1.1" 200 121916
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/images/productImages/salad5.jpg HTTP/1.1" 200 222204
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Jan/2020:21:00:01 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
