0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/menuRight.png HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/nurung.jpg HTTP/1.1" 200 114212
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage1.jpg HTTP/1.1" 200 198864
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage2.jpg HTTP/1.1" 200 200767
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage3.jpg HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage4.jpg HTTP/1.1" 200 79075
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage5.jpg HTTP/1.1" 200 169474
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage6.jpg HTTP/1.1" 200 96153
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage7.jpg HTTP/1.1" 200 129653
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage8.jpg HTTP/1.1" 200 308292
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage9.jpg HTTP/1.1" 200 174097
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage10.jpg HTTP/1.1" 200 33782
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:56 +0900] "GET /dstay/resources/images/4_jong/testImage11.jpg HTTP/1.1" 200 52025
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:57 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:58:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/6_lee/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/6_lee/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/6_lee/owl_carousel/owl.theme.default.css HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/6_lee/owl_carousel/owl.carousel.css HTTP/1.1" 200 4028
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/6_lee/kimi.css HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/koreaCate.jpg HTTP/1.1" 200 7233
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/japanCate.jpg HTTP/1.1" 200 11500
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/chinaCate.jpg HTTP/1.1" 200 11105
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/usaCate.jpg HTTP/1.1" 200 13311
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/saladCate.jpg HTTP/1.1" 200 14062
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/proteinCate.jpg HTTP/1.1" 200 8629
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/sideCate.jpg HTTP/1.1" 200 13803
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/tag_coffee.jpg HTTP/1.1" 200 24103
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/tag_juice.jpg HTTP/1.1" 200 22746
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/product.do HTTP/1.1" 200 31523
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/productImages/usa1.jpg HTTP/1.1" 200 10430
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/productImages/usa3.jpg HTTP/1.1" 200 10666
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/productImages/usa2.jpg HTTP/1.1" 200 13997
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/productImages/china2.jpg HTTP/1.1" 200 8843
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/productImages/china1.jpg HTTP/1.1" 200 12540
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/owl_carousel/owl.carousel.js HTTP/1.1" 200 85368
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/tipusearch/tipuesearch_content.js HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/tipusearch/tipuesearch_set.js HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/prism/prism.js HTTP/1.1" 200 249587
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/kimi.js HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/productImages/japan3.jpg HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/sucicakes_logo.png HTTP/1.1" 200 16974
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/tipusearch/tipuesearch.js HTTP/1.1" 200 32160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/nasi_bakar_logo.jpg HTTP/1.1" 200 17809
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/llball_logo.JPG HTTP/1.1" 200 189168
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/deliciozo_logo.jpg HTTP/1.1" 200 28430
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/bakmi_48_logo.jpg HTTP/1.1" 200 27145
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/images/6_lee/fans_logo.png HTTP/1.1" 200 8667
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/js/6_lee/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:00 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/productCotegory.do?pcno=2 HTTP/1.1" 200 20266
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/resources/images/productImages/japan1.jpg HTTP/1.1" 200 187834
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/resources/images/productImages/japan2.jpg HTTP/1.1" 200 12891
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:02 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:03 +0900] "GET /dstay/productCotegory.do?pcno=3 HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:03 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:03 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:03 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:03 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:04 +0900] "GET /dstay/productCotegory.do?pcno=4 HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:04 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:04 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:04 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:04 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/productCotegory.do?pcno=1 HTTP/1.1" 200 21560
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/images/productImages/testImage1.jpg HTTP/1.1" 200 198864
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/images/productImages/test1.jpg HTTP/1.1" 200 70236
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/images/productImages/testImage6.jpg HTTP/1.1" 200 96153
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/images/productImages/testImage5.jpg HTTP/1.1" 200 169474
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:06 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:08 +0900] "GET /dstay/product.do HTTP/1.1" 200 31523
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:08 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:08 +0900] "GET /dstay/resources/css/fonts/THE%EB%AA%85%ED%92%88%EA%B5%B4%EB%A6%BCB.ttf HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:09 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:09 +0900] "GET /dstay/resources/css/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:46 +0900] "GET /dstay/resources/css/1_common/bootstrap.min.css.map HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2019:20:59:46 +0900] "GET /dstay/resources/css/6_lee/bootstrap.min.css.map HTTP/1.1" 200 542194
